Issue Type,Issue Key,Summary,Epic Name,Epic Link,Priority,Story Points,Labels,Sprint,Depends On,Status,Description,Acceptance Criteria
Epic,RG-EP2D,RG-2D Wallet and spend safety hardening,RG-2D Wallet and spend safety hardening,,High,,rose-gifts;backend;wallet,Sprint 2,,Planned,"Complete transactional safety and operational robustness for wallet debit + gift send.","N/A"
Epic,RG-EP5D,RG-5D Telemetry and trust controls,RG-5D Telemetry and trust controls,,High,,rose-gifts;analytics;trust,Sprint 2,,Planned,"Complete funnel telemetry, abuse signals, and operational dashboards.","N/A"
Epic,RG-EP3D,RG-3D Coin earning loops,RG-3D Coin earning loops,,Medium,,rose-gifts;retention;economy,Sprint 3,,Planned,"Implement streak and session rewards with anti-idle and cap enforcement.","N/A"
Epic,RG-EP4D,RG-4D Limited drops and offers,RG-4D Limited drops and offers,,Medium,,rose-gifts;monetization,Sprint 4,,Planned,"Runtime-configurable limited drops and offer experimentation.","N/A"
Story,RG-206,Harden gift send consistency and retry semantics,,RG-EP2D,High,13,rose-gifts;wallet;idempotency;backend,Sprint 2,,Planned,"Strengthen debit/send consistency under retries and downstream failure paths.","Idempotent retries are replay-safe; insufficient balance path remains deterministic; downstream failure scenarios have compensating behavior; integration tests cover duplicate submit and transient failures"
Story,RG-207,Operationalize wallet audit visibility and controls,,RG-EP2D,Medium,5,rose-gifts;wallet;audit;ops,Sprint 2,RG-206,Planned,"Ensure wallet mutation history is queryable and operationally reviewable.","Wallet credit/debit/top-up events are audit-logged; admin-facing retrieval path exists; audit payload includes actor, reason, amount, resulting balance"
Story,RG-210,Implement complete gift funnel event taxonomy,,RG-EP5D,High,8,rose-gifts;analytics;telemetry,Sprint 2,,Planned,"Capture all key funnel interactions and economy outcomes for tuning.","Events include panel open, preview open, send success, send fail (insufficient/other), coins spent; required properties documented; staging validation evidence attached"
Story,RG-211,Publish rose gifts KPI dashboard spec and ownership,,RG-EP5D,High,3,rose-gifts;analytics;dashboard,Sprint 2,RG-210,Planned,"Define dashboard panels and owner responsibilities for north-star and guardrails.","Dashboard includes D7 uplift cohort, confirm-sheet completion, free-share ratio, spend distribution; owner and refresh SLA recorded"
Story,RG-208,Daily login streak coin reward API and rules,,RG-EP3D,Medium,8,rose-gifts;retention;streak,Sprint 3,,Planned,"Grant streak coins on first eligible daily action with reset behavior.","First eligible daily action grants configured streak reward; missed day resets streak; daily cap is enforced; tests cover timezone boundary and duplicate claims"
Story,RG-209,Active session reward loop with anti-idle checks,,RG-EP3D,Medium,13,rose-gifts;retention;anti-idle,Sprint 3,RG-208,Planned,"Reward active usage only with cooldown and cap.","Rewards require interaction signal set; idle/background sessions do not accrue; cooldown and per-day cap are enforced; abuse-like patterns are flagged"
Story,RG-212,Abuse and fraud velocity controls for economy,,RG-EP5D,High,8,rose-gifts;trust;anti-abuse,Sprint 3,RG-209,Planned,"Detect suspicious earn/send velocity and apply policy response.","Rule checks identify anomalous velocity; alert events emitted; response actions (warn/throttle/temp lock) are feature-flagged"
Story,RG-213,Weekly limited drop scheduler and activation controls,,RG-EP4D,Medium,5,rose-gifts;catalog;limited-drop,Sprint 4,,Planned,"Enable weekly rotating limited gift without app release.","One active limited drop can be scheduled and auto-expired; expired items hidden/disabled in catalog API; configuration is runtime-managed"
Task,RG-214,OpenAPI and contract snapshot sync for rose hardening,,RG-EP2D,High,3,rose-gifts;openapi;contracts,Sprint 2,RG-206,Planned,"Align API contract updates with implementation changes and snapshots.","OpenAPI updated in source; make proto run completed when required; contract snapshot updated in docs/contracts"
Task,RG-215,Release-flag rollout and rollback plan for rose economy,,RG-EP5D,High,3,rose-gifts;release;flags,Sprint 2,RG-211,Planned,"Define staged rollout with kill switches and rollback criteria.","Flags listed with owners; rollout stages documented; rollback trigger thresholds and runbook approved"
